symbol,ex_low,ex_high,ema_mean,ema_var,count,updated_ms
0GUSDT,binance,gate,0.0016025442480294,7.329907445282568e-07,78,1761881101267
0GUSDT,binance,bybit,0.0014996062787466639,1.396014150738059e-07,118,1761963022245
0GUSDT,gate,bybit,0.0008231366718097,6.583708111658198e-07,47,1761881101272
1000000MOGUSDT,bybit,binance,0.0004818915015518,4.657279626689839e-07,25,1761706811439
1000BONKUSDT,bybit,binance,0.0001421661481733,3.6111855817093284e-07,22,1761706811446
1000RATSUSDT,binance,bybit,0.0016087043237027,7.948496958160959e-07,36,1761706811454
1INCHUSDT,bybit,gate,0.0006060738931869,3.816197590079201e-07,66,1761881101280
1INCHUSDT,bybit,binance,0.0005138129636992646,5.099986781058242e-07,30,1761956509319
1INCHUSDT,gate,binance,0.0009446765253818,5.813293997769822e-07,20,1761874248275
2ZUSDT,bybit,binance,0.0002152292766166887,2.6269300481036936e-07,31,1761963022258
2ZUSDT,bybit,gate,0.000623457116988,3.136569095157461e-07,56,1761881101288
2ZUSDT,binance,gate,0.0007726079815198,3.747334898754588e-07,64,1761881101291
A2ZUSDT,binance,bybit,0.0019025071587690028,2.913111811553079e-07,111,1761963022286
A2ZUSDT,binance,gate,0.0019830793075167,8.847476573224677e-07,73,1761881101318
A2ZUSDT,bybit,gate,0.0010743916035086,5.971078455512877e-07,58,1761881101320
A8USDT,bybit,gate,0.0020038930159171,1.979206777349274e-06,72,1761880149459
AAVEUSDT,binance,bybit,0.00027004716533667543,8.160181851664578e-07,27,1761948133564
AAVEUSDT,binance,gate,0.000305041868838,2.622152985411891e-07,32,1761881101331
AAVEUSDT,bybit,gate,0.0002999329044736,1.833599721374979e-07,45,1761881101329
ACEUSDT,gate,binance,0.0004886931354785,5.009463307413656e-07,23,1761878190785
ACEUSDT,gate,bybit,0.0007031979695591,2.0150080312840125e-07,47,1761881101338
ACEUSDT,binance,bybit,0.0003620053853549734,2.492938633296109e-07,99,1761962087753
ACHUSDT,gate,bybit,0.0010862216828985,1.3296299511672006e-06,29,1761881101341
ACHUSDT,gate,binance,0.0009591962474518,1.0376643605897085e-06,48,1761881101344
ACHUSDT,bybit,binance,0.0005009017575915033,9.113480919132269e-08,102,1761963022320
ACTUSDT,binance,bybit,0.0005225495219085958,7.696979069990291e-07,56,1761949982708
ACTUSDT,binance,gate,0.0009531515749633,8.061825758814943e-07,44,1761879179403
ACTUSDT,bybit,gate,0.000858196228648,1.30099470064442e-06,43,1761877196022
ACXUSDT,gate,binance,0.0011190703812159,6.586438906427641e-07,16,1761878190813
ACXUSDT,gate,bybit,0.0010501848636131,5.663254438280202e-07,31,1761881101361
ACXUSDT,binance,bybit,0.000954730065307399,6.095341952095064e-07,54,1761951849848
ADAUSDT,bybit,binance,8.822459614284693e-05,8.730026926196527e-08,52,1761962087784
ADAUSDT,bybit,gate,0.0002242683731202,4.7314932966553474e-08,74,1761881101364
ADAUSDT,binance,gate,0.0002515286982343,5.5404320972548566e-08,66,1761880149541
AERGOUSDT,gate,binance,0.0008939982237891,3.505180561542921e-07,52,1761881101372
AERGOUSDT,gate,bybit,0.0007499889398739,3.329825850670557e-07,44,1761881101374
AERGOUSDT,binance,bybit,0.00022443804353964984,2.706705245516962e-07,35,1761962087791
AEROUSDT,gate,bybit,0.0012849441322586,6.777542850500672e-07,61,1761881101384
AEROUSDT,gate,binance,0.0007879161237575,4.3303159366418724e-07,35,1761880149563
AEROUSDT,bybit,binance,0.0001869822910462,6.092102676878794e-07,14,1761697147146
AEVOUSDT,bybit,binance,0.0002909603471297671,1.5124382842555286e-07,69,1761963022354
AEVOUSDT,bybit,gate,0.00072852039365,2.962458636517718e-07,68,1761881101387
AEVOUSDT,binance,gate,0.000572105207376,2.883977385133498e-07,52,1761879179447
AGIUSDT,bybit,gate,0.0031076592121003,1.8726064997251464e-06,79,1761881101395
AGLDUSDT,binance,gate,0.000674334845782,7.456455115094501e-07,32,1761879179458
AGLDUSDT,binance,bybit,0.00039891006759854724,3.4212496978064306e-07,38,1761936043372
AGLDUSDT,gate,bybit,0.0010133812819206,7.084231100937348e-07,45,1761881101398
AGTUSDT,binance,gate,0.0019896908604746,2.0695884823492435e-06,59,1761879179460
AI16ZUSDT,bybit,binance,0.0005112148292733642,3.991326799093567e-07,63,1761953729120
AI16ZUSDT,bybit,gate,0.0007757416488586,3.0249989651742533e-07,52,1761880149620
AI16ZUSDT,binance,gate,0.0005743008360554,3.26460298996383e-07,39,1761880149616
AIAUSDT,gate,bybit,0.000716077657327,3.559136301453659e-07,52,1761881101415
AIAUSDT,gate,binance,0.0011559483392646,1.3691285915794165e-06,34,1761881101417
AIAUSDT,bybit,binance,0.0006819892610840458,7.293789264801016e-07,49,1761963022380
AINUSDT,gate,bybit,0.0013611836478535,6.228782957942489e-07,70,1761881101422
AINUSDT,gate,binance,0.0029986935620312,1.6711603397081598e-06,80,1761881101425
AINUSDT,bybit,binance,0.0016249534274479492,9.798862892245584e-07,108,1761963022386
AIOTUSDT,gate,binance,0.0025027472448065,3.7661715840468793e-06,63,1761881101433
AIOUSDT,bybit,gate,0.0006322131510194,6.795524053617678e-07,21,1761880149655
AIOUSDT,bybit,binance,0.0010959769613460544,7.099328186792386e-07,114,1761963022396
AIOUSDT,gate,binance,0.0033058623370311,2.303885753703591e-06,77,1761881101438
AIOZUSDT,bybit,gate,0.0014536043750573,8.250293432525675e-07,59,1761881101444
AIUSDT,binance,gate,0.0011706104821751,8.49777086222819e-07,38,1761879179510
AIUSDT,binance,bybit,0.00046721493918408595,3.471518760980133e-07,36,1761954663357
AIUSDT,gate,bybit,0.0007829698120072,5.027106450315264e-07,38,1761880149675
AIXBTUSDT,binance,bybit,0.0002722937311511886,2.1215252833627252e-07,63,1761963022412
AIXBTUSDT,binance,gate,0.0006140417223787,3.135563176695592e-07,52,1761879179520
AIXBTUSDT,bybit,gate,0.0005154419031234,1.9036759020655785e-07,52,1761879179522
AKEUSDT,gate,bybit,0.0010640876675875,5.708428225299812e-07,50,1761881101465
AKEUSDT,gate,binance,0.0016451819556524,9.291161966510374e-07,71,1761881101463
AKEUSDT,bybit,binance,0.000633877777539983,3.6774356311978564e-07,101,1761963022419
AKTUSDT,binance,gate,0.0015248963323281,1.2913617660415212e-06,40,1761706811625
AKTUSDT,binance,bybit,0.0012365802376794008,1.0210289714595704e-06,42,1761963022425
AKTUSDT,gate,bybit,0.0006790569743961,3.514358416534061e-07,42,1761880149721
ALCHUSDT,bybit,gate,0.0010569108691543,4.415911546351353e-07,73,1761881101479
ALCHUSDT,bybit,binance,0.002990017920405411,1.9600050404224332e-07,117,1761963022430
ALCHUSDT,gate,binance,0.0024914738212176,4.723904523533816e-07,78,1761881101484
ALEOUSDT,bybit,gate,0.0046282716028151,1.861619366479597e-06,80,1761881101487
ALGOUSDT,bybit,gate,0.0006142979252091,3.0601316928418816e-07,53,1761881101490
ALGOUSDT,bybit,binance,0.00021800598485493378,1.3912963631401187e-07,51,1761949982824
ALGOUSDT,gate,binance,0.000451075652521,2.394450905060631e-07,37,1761881101495
ALICEUSDT,gate,binance,0.0007974786394181,6.306146995637791e-07,34,1761880149756
ALICEUSDT,gate,bybit,0.0011948068922049,5.185713928402687e-07,45,1761881101502
ALICEUSDT,binance,bybit,0.0007499609802369663,6.576234278950269e-07,62,1761947214932
ALLUSDT,gate,binance,0.0909203325611236,5.031042906215818e-05,80,1761881101506
ALPHAUSDT,gate,binance,0.04831864677756,1.35275954279056e-07,40,1761706811663
ALPINEUSDT,binance,bybit,0.0012114319085667479,1.261734197028941e-07,113,1761963022451
ALPINEUSDT,binance,gate,0.0011676922756512,3.55785356442875e-07,73,1761881101511
ALPINEUSDT,bybit,gate,0.0003696469224742,2.529493856319715e-07,37,1761881101513
ALTUSDT,bybit,gate,0.0010496507790829,4.353331345981891e-07,66,1761879179591
ALTUSDT,bybit,binance,0.00042224976775922265,3.5720554515605666e-07,86,1761963022457
ALTUSDT,gate,binance,0.000806530527079,3.0949379653733426e-07,42,1761881101519
ALUUSDT,bybit,gate,0.1861552989052468,0.0006653606506031,40,1761706811681
ANIMEUSDT,gate,bybit,0.0005047829749454,3.343594294109144e-07,31,1761881101524
ANIMEUSDT,gate,binance,0.0011073445010082,4.7017508238416993e-07,42,1761881101527
ANIMEUSDT,bybit,binance,0.00019208924607761716,2.5286473625037736e-07,85,1761958351615
ANKRUSDT,gate,bybit,0.0012569819478905,4.850508526737759e-07,25,1761879179605
ANKRUSDT,gate,binance,0.0015798450599062,7.285932732351598e-07,54,1761881101536
ANKRUSDT,bybit,binance,0.00037024655603032846,4.861155835855753e-07,95,1761963022469
APEUSDT,binance,bybit,0.00017496532075864,1.3789515454937337e-07,44,1761936763948
APEUSDT,binance,gate,0.0005062994214081,2.3369946739409005e-07,43,1761879179616
APEUSDT,bybit,gate,0.0004753710926168,2.554350506618955e-07,51,1761879179614
API3USDT,binance,bybit,0.0011182727676861469,5.185070781934844e-07,112,1761963022481
API3USDT,binance,gate,0.0009519519252747,3.624218421751522e-07,72,1761879179619
API3USDT,bybit,gate,0.0004415692785291,2.912169148010993e-07,39,1761872362312
APTUSDT,bybit,gate,0.0002043831155556,2.625264681275311e-07,38,1761873295207
APTUSDT,bybit,binance,0.0001352844499104612,5.828280560013021e-08,67,1761958351646
APTUSDT,gate,binance,0.0003497044925463,1.027680650062886e-07,56,1761881101563
ARBUSDT,bybit,gate,0.0002329064160009,9.802303340736852e-08,59,1761880149859
ARBUSDT,bybit,binance,0.00015571739671052626,1.0280878309003411e-07,53,1761961145555
ARBUSDT,gate,binance,0.0002933903167006,2.1228255610256134e-07,34,1761872362335
ARCUSDT,gate,binance,0.0012038924048702,1.0351380196785825e-06,19,1761704669751
ARCUSDT,gate,bybit,0.0012130280687969,7.083483622557815e-07,24,1761704669753
ARCUSDT,binance,bybit,0.0007437683957777,6.821001779340873e-07,32,1761706811728
ARIAUSDT,gate,bybit,0.0016017395673691,1.0614538449906633e-06,68,1761881101583
ARIAUSDT,gate,binance,0.0013888608766221,1.2055909305474828e-06,66,1761881101580
ARIAUSDT,bybit,binance,0.0004589640871791067,4.151377144931331e-07,32,1761942597083
ARKMUSDT,bybit,binance,0.0002139363891746304,7.765010667240326e-08,85,1761963022510
ARKMUSDT,bybit,gate,0.0005897544074534,4.340640413394177e-07,49,1761879179658
ARKMUSDT,binance,gate,0.0005102528387087,4.1609578099846054e-07,36,1761877196287
ARKUSDT,gate,binance,0.0019911763862426,1.3500893444159515e-06,46,1761881101598
ARKUSDT,gate,bybit,0.0021446589635944,1.228289765327538e-06,60,1761881101596
ARKUSDT,binance,bybit,0.0004232337126654174,2.6156508504038774e-07,77,1761962087970
ARPAUSDT,bybit,binance,0.00025155801120331815,2.0066360265065054e-07,56,1761962087976
ARPAUSDT,bybit,gate,0.0005926376208568,3.869116945165535e-07,53,1761880149892
ARPAUSDT,binance,gate,0.0006855460910283,3.1301104186642644e-07,49,1761879179677
ARUSDT,bybit,binance,0.00031545993946563704,2.1082270114207242e-07,41,1761954663480
ARUSDT,bybit,gate,0.0005807750929494,4.5552030704420606e-07,47,1761875232570
ARUSDT,binance,gate,0.0005785359634015,3.422851787612767e-07,47,1761878191083
ASPUSDT,gate,bybit,0.0014517402346528,6.861464793919976e-07,59,1761881101619
ASRUSDT,bybit,binance,0.0005329598538718772,3.54432723833306e-07,29,1761944465825
ASRUSDT,bybit,gate,0.0005901095302523,3.503438729254001e-07,61,1761881101624
ASRUSDT,binance,gate,0.0005911869336527,3.550467163376447e-07,61,1761881101626
ASTERUSDT,gate,bybit,0.000480063566635,2.1585008209902495e-07,43,1761877196332
ASTERUSDT,gate,binance,0.0003424609697923,1.590380595099656e-07,44,1761881101634
ASTERUSDT,bybit,binance,0.00015452470279692465,1.1266676011459455e-07,47,1761963022541
ASTRUSDT,gate,bybit,0.0008173283784132,6.037541566534203e-07,14,1761865515232
ASTRUSDT,gate,binance,0.0007524214472128,3.819325606353303e-07,44,1761880149940
ASTRUSDT,bybit,binance,0.0006698346701861191,1.84946809827946e-07,111,1761963022547
ATAUSDT,binance,gate,0.1201844470751519,0.0006145528455141,40,1761706811799
ATHUSDT,bybit,binance,0.0006255024883236,9.24987028845292e-07,3,1761875232603
ATHUSDT,bybit,gate,0.0005431293954975,3.258485053987489e-07,56,1761881101649
ATHUSDT,binance,gate,0.0007925462971756,5.116128532946795e-07,77,1761881101647
ATOMUSDT,bybit,gate,0.000239170976085,2.112764744856549e-07,41,1761881101654
ATOMUSDT,bybit,binance,0.00014698778369961617,1.4018412926388144e-07,44,1761957427774
ATOMUSDT,gate,binance,0.0004254198965701,2.387570563888256e-07,38,1761880149952
AUCTIONUSDT,gate,binance,0.0004698409740517,2.1854579476893878e-07,38,1761881101667
